agam,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_315672.4,XP_011265331.1,0,557,0,547
XP_315672.4,XP_011265333.1,0,557,0,547
XP_315673.3,XP_025267106.1,4.00E-130,375,1.00E-138,396
XP_315675.3,XP_025265334.1,1.00E-114,351,1.00E-110,340
XP_315675.3,XP_025265335.1,1.00E-114,351,1.00E-110,340
XP_315675.3,XP_025265336.1,1.00E-114,351,1.00E-110,340
XP_315675.3,XP_025265337.1,1.00E-114,351,1.00E-110,340
XP_315675.3,XP_025265338.1,1.00E-114,351,1.00E-110,340
XP_315679.3,XP_025265334.1,8.00E-113,347,9.00E-107,330
XP_315679.3,XP_025265335.1,8.00E-113,347,9.00E-107,330
XP_315679.3,XP_025265336.1,8.00E-113,347,9.00E-107,330
XP_315679.3,XP_025265337.1,8.00E-113,347,9.00E-107,330
XP_315679.3,XP_025265338.1,8.00E-113,347,9.00E-107,330
XP_315680.4,XP_025268213.1,0,665,0,639
XP_315680.4,XP_025268214.1,0,667,0,643
XP_315683.2,XP_011265105.1,0,596,0,606
XP_315689.3,XP_011250813.1,0,889,0,885
XP_315690.3,XP_011254787.1,1.00E-75,231,6.00E-76,231
XP_315691.3,XP_011268718.1,1.00E-42,144,2.00E-42,142
XP_315691.3,XP_025270975.1,1.00E-42,144,2.00E-42,142
XP_315692.4,XP_011268759.1,2.00E-41,138,6.00E-42,138
XP_315693.3,XP_011268715.1,0,574,0,574
XP_315693.3,XP_011268716.1,0,574,0,574
XP_315693.3,XP_011268717.1,0,574,0,574
XP_315694.1,XP_011267021.2,6.00E-155,441,1.00E-156,444
XP_315698.4,XP_011252305.2,1.00E-53,181,2.00E-42,150
XP_315706.4,XP_011258819.1,0,666,0,666
XP_315707.4,XP_025271355.1,0,1691,0,1662
XP_315707.4,XP_025271356.1,0,1691,0,1662
XP_315707.4,XP_025271358.1,0,1694,0,1662
XP_315707.4,XP_025271359.1,0,1697,0,1669
XP_315707.4,XP_025271360.1,0,1701,0,1670
XP_315708.4,XP_011259189.1,6.00E-152,442,3.00E-152,442
XP_315708.4,XP_011259195.1,6.00E-152,440,2.00E-152,440
XP_315718.3,XP_011265451.1,0,641,0,602
XP_315718.3,XP_011265452.1,0,642,0,602
XP_315718.3,XP_011265453.1,0,649,0,609
XP_315718.3,XP_011265455.1,0,659,0,619
XP_315718.3,XP_011265456.1,0,659,0,619
XP_315721.4,XP_011266078.1,0,681,0,681
XP_315721.4,XP_011266080.1,0,680,0,680
XP_315722.4,XP_011266078.1,0,695,0,695
XP_315722.4,XP_011266080.1,0,693,0,693
XP_315726.4,XP_025267672.1,1.00E-176,588,5.00E-160,539
XP_315726.4,XP_025267695.1,1.00E-176,588,5.00E-160,539
XP_315726.4,XP_025267724.1,1.00E-176,588,5.00E-160,539
XP_315726.4,XP_025267759.1,3.00E-177,589,4.00E-160,539
XP_315726.4,XP_025267804.1,2.00E-177,589,2.00E-160,540
XP_315727.4,XP_011266227.2,5.00E-79,257,2.00E-73,241
XP_315727.4,XP_011266228.2,5.00E-81,262,3.00E-75,246
XP_315727.4,XP_011266229.2,4.00E-79,257,2.00E-73,241
XP_315738.4,XP_011251537.1,1.00E-95,294,2.00E-96,295
XP_315738.4,XP_011251538.1,6.00E-96,295,9.00E-97,296
XP_315739.4,XP_011256869.2,2.00E-51,167,6.00E-52,167
XP_315740.4,XP_011269497.1,9.00E-90,271,8.00E-98,291
XP_315740.4,XP_011269498.1,6.00E-90,271,9.00E-98,291
XP_315741.5,XP_025267973.1,0,624,0,624
XP_315744.4,XP_011252040.1,0,738,0,754
XP_315744.4,XP_011252042.1,0,737,0,754
XP_315744.4,XP_011252043.1,0,736,0,753
XP_315746.3,XP_011263022.1,0,1537,0,1549
XP_315750.3,XP_019883982.1,3.00E-98,300,1.00E-98,300
XP_315751.4,XP_025268896.1,0,517,0,517
XP_315752.4,XP_011253921.1,4.00E-175,498,2.00E-175,498
XP_315752.4,XP_011253922.1,1.00E-176,502,5.00E-177,502
XP_315755.4,XP_011257921.1,0,551,0,550
XP_315755.4,XP_011257924.1,0,551,0,550
XP_315755.4,XP_011257925.1,0,550,0,550
XP_315755.4,XP_011257926.1,0,550,0,550
XP_315755.4,XP_025262059.1,0,550,0,550
XP_315758.3,XP_011253788.1,2.00E-73,251,1.00E-78,264
XP_315758.3,XP_011253789.1,2.00E-73,251,9.00E-79,263
XP_315758.3,XP_011253790.1,2.00E-73,251,9.00E-79,263
XP_315758.3,XP_019882640.1,2.00E-73,251,2.00E-78,263
XP_315758.3,XP_025264958.1,2.00E-73,251,1.00E-78,264
XP_315763.2,XP_025269933.1,2.00E-87,263,8.00E-88,263
XP_315766.4,XP_025268342.1,6.00E-79,260,3.00E-79,260
XP_315767.3,XP_011258792.2,4.00E-82,270,2.00E-82,270
XP_315767.3,XP_025268314.1,1.00E-85,278,5.00E-86,278
XP_315767.3,XP_025268315.1,2.00E-83,273,8.00E-84,273
XP_315767.3,XP_025268321.1,5.00E-87,282,2.00E-87,282
XP_315767.3,XP_025268322.1,7.00E-82,268,3.00E-82,268
XP_315767.3,XP_025268342.1,2.00E-82,270,1.00E-82,270
XP_315768.3,XP_025269930.1,2.00E-92,280,2.00E-95,286
XP_315768.3,XP_025269931.1,2.00E-92,280,2.00E-95,286
XP_315768.3,XP_025269932.1,5.00E-94,283,4.00E-97,291
XP_315774.3,XP_019883449.2,6.00E-130,396,2.00E-126,386
XP_315778.3,XP_025266681.1,6.00E-11,52.4,2.00E-11,52.4
XP_315784.2,XP_025267013.1,2.00E-83,251,6.00E-84,251
XP_315785.4,XP_011259536.1,0,845,0,845
XP_315785.4,XP_025269929.1,0,845,0,845
XP_315786.4,XP_019884145.1,0,1931,0,1932
XP_315786.4,XP_019884147.1,0,1918,0,1918
XP_315786.4,XP_025266680.1,0,1918,0,1918
XP_315787.4,XP_011250903.1,0,534,0,534
XP_315788.3,XP_011259623.1,0,604,0,604
XP_315788.3,XP_011259624.1,0,604,0,604
XP_315789.4,XP_025268527.1,0,544,0,542
XP_315789.4,XP_025268528.1,0,544,0,542
XP_315789.4,XP_025268529.1,0,544,0,542
XP_315789.4,XP_025268530.1,0,544,0,542
XP_315789.4,XP_025268531.1,0,544,0,542
XP_315789.4,XP_025268532.1,0,544,0,542
XP_315790.3,XP_011264394.1,4.00E-71,221,1.00E-75,231
XP_315792.4,XP_011252976.1,0,1304,0,1315
XP_315792.4,XP_011252978.1,0,1296,0,1309
XP_315792.4,XP_025269099.1,0,1296,0,1309
XP_315795.4,XP_011259785.1,1.00E-112,351,2.00E-112,350
XP_315795.4,XP_011259786.1,1.00E-112,351,2.00E-112,350
XP_315795.4,XP_025266978.1,1.00E-112,351,2.00E-112,350
XP_315795.4,XP_025266979.1,1.00E-112,351,2.00E-112,350
XP_315797.4,XP_025262101.1,6.00E-175,500,6.00E-163,468
XP_315797.4,XP_025262103.1,4.00E-175,500,5.00E-163,468
XP_315797.4,XP_025268343.1,6.00E-179,510,6.00E-176,501
XP_315800.4,XP_011265116.1,1.00E-86,273,8.00E-87,272
XP_315800.4,XP_011265117.1,7.00E-87,272,4.00E-87,272
XP_315800.4,XP_011265118.1,7.00E-87,272,4.00E-87,272
XP_315801.4,XP_011265119.1,4.00E-39,129,2.00E-39,129
XP_315806.4,XP_011260237.1,9.00E-59,196,8.00E-61,200
XP_315806.4,XP_011260238.1,9.00E-59,196,8.00E-61,200
XP_315806.4,XP_011260239.1,9.00E-59,196,8.00E-61,200
XP_315807.4,XP_011258877.1,0,543,3.00E-175,518
XP_315811.2,XP_025261953.1,1.00E-105,320,6.00E-106,320
XP_315811.2,XP_025261954.1,1.00E-105,320,6.00E-106,320
XP_315813.4,XP_011260178.1,9.00E-69,238,7.00E-67,231
XP_315815.2,XP_011260177.1,0,1010,0,989
XP_315817.2,XP_011254169.1,1.00E-163,458,5.00E-163,456
XP_315819.4,XP_011268706.1,4.00E-47,172,2.00E-48,175
XP_315819.4,XP_011268713.1,4.00E-47,172,1.00E-48,176
XP_315832.4,XP_011259193.1,1.00E-24,99,5.00E-27,104
XP_315834.2,XP_011253864.1,3.00E-82,243,1.00E-82,243
XP_315835.4,XP_011252691.1,2.00E-95,311,2.00E-96,313
XP_315836.2,XP_011264041.1,1.00E-74,234,6.00E-72,226
XP_315840.4,XP_025268949.1,0,1176,0,1157
XP_315840.4,XP_025268950.1,0,1181,0,1160
XP_315840.4,XP_025268951.1,0,1179,0,1159
XP_315841.3,XP_011253620.2,3.00E-111,335,1.00E-111,335
XP_315841.3,XP_011253630.1,3.00E-111,335,1.00E-111,335
XP_315841.3,XP_011253639.1,3.00E-111,335,1.00E-111,335
XP_315841.3,XP_011253647.1,3.00E-111,335,1.00E-111,335
XP_315841.3,XP_019882624.1,3.00E-111,335,1.00E-111,335
XP_315842.3,XP_011252207.1,4.00E-38,136,2.00E-38,136
XP_315842.3,XP_011252208.1,4.00E-38,136,2.00E-38,136
XP_315843.4,XP_025265207.1,2.00E-49,162,6.00E-50,162
XP_315849.4,XP_011267908.1,3.00E-30,106,1.00E-30,106
XP_315849.4,XP_019885303.1,3.00E-30,106,1.00E-30,106
XP_315850.3,XP_025263347.1,2.00E-77,235,1.00E-77,235
XP_315851.4,XP_011264391.1,6.00E-100,309,3.00E-100,309
XP_315853.4,XP_011258924.1,4.00E-69,228,4.00E-70,229
XP_315853.4,XP_011258925.1,5.00E-69,228,4.00E-70,229
XP_315855.4,XP_019885589.1,1.00E-92,305,5.00E-98,318
XP_315855.4,XP_025267034.1,1.00E-92,305,5.00E-98,318
XP_315863.3,XP_025264533.1,0,531,2.00E-171,494
XP_315863.3,XP_025264536.1,0,536,0,521
XP_315863.3,XP_025264537.1,0,536,0,521
XP_315863.3,XP_025264538.1,0,536,0,521
XP_315863.3,XP_025264539.1,0,535,0,519
XP_315863.3,XP_025264540.1,0,519,4.00E-174,500
XP_315863.3,XP_025264541.1,1.00E-179,514,4.00E-173,496
XP_315867.3,XP_011250457.1,1.00E-35,121,5.00E-36,121
XP_315868.2,XP_011260356.1,7.00E-20,85.9,3.00E-23,94.4
XP_315869.2,XP_011257115.1,1.00E-117,348,4.00E-118,348
XP_315870.4,XP_011268884.1,0,685,0,685
XP_315870.4,XP_011269145.1,0,685,0,685
XP_315870.4,XP_025267081.1,0,685,0,685
XP_315872.3,XP_019884675.2,0,606,0,606
XP_315876.4,XP_011261192.1,0,556,0,560
XP_315876.4,XP_011261193.1,0,556,0,560
XP_315879.4,XP_011258408.1,0,542,0,542
XP_315881.3,XP_025262042.1,6.00E-117,374,3.00E-117,374
XP_315882.4,XP_025267100.1,0,779,0,773
XP_315883.4,XP_011265037.1,6.00E-177,503,3.00E-177,503
XP_315884.3,XP_011265033.1,1.00E-116,334,7.00E-117,333
XP_315885.2,XP_011254716.1,0,714,0,733
XP_315888.4,XP_011253914.1,0,660,0,647
XP_315888.4,XP_011253984.1,0,660,0,647
XP_315893.3,XP_011263226.1,0,553,0,553
XP_315894.2,XP_011263223.1,0,819,0,831
XP_315894.2,XP_011263224.1,0,819,0,831
XP_315894.2,XP_011263225.1,0,817,0,830
XP_315894.2,XP_019884452.1,0,817,0,830
XP_315898.4,XP_011261978.1,0,608,0,632
XP_315900.2,XP_011266310.1,3.00E-60,185,2.00E-60,184
XP_315901.4,XP_025268183.1,9.00E-131,399,5.00E-130,397
XP_315901.4,XP_025268184.1,6.00E-131,400,4.00E-130,397
XP_315909.4,XP_025268171.1,5.00E-115,344,2.00E-103,313
XP_315909.4,XP_025268177.1,5.00E-115,344,2.00E-103,313
XP_315910.3,XP_011266832.1,1.00E-152,444,9.00E-162,466
XP_315910.3,XP_011266833.1,7.00E-153,444,6.00E-163,469
XP_315920.4,XP_011257686.1,0,762,0,769
XP_315920.4,XP_011257694.1,0,762,0,769
XP_315920.4,XP_011257703.1,0,762,0,769
XP_315920.4,XP_011257713.1,0,762,0,769
XP_315920.4,XP_011257721.1,0,762,0,769
XP_315921.4,XP_011258932.1,0,1477,0,1464
XP_315921.4,XP_011258933.1,0,1477,0,1464
XP_315922.3,XP_011258380.1,2.00E-39,139,9.00E-40,139
XP_315922.3,XP_025263787.1,2.00E-39,139,9.00E-40,139
XP_315923.3,XP_011251133.1,0,905,0,905
XP_315926.2,XP_011251654.1,0,1305,0,1305
XP_315928.3,XP_025262936.1,0,753,0,759
XP_315931.4,XP_011251648.1,0,1258,0,1253
XP_315931.4,XP_011251649.1,0,1258,0,1253
XP_315931.4,XP_011251650.1,0,1258,0,1254
XP_315931.4,XP_011251651.1,0,1258,0,1254
XP_315931.4,XP_011251652.1,0,1258,0,1254
XP_315931.4,XP_011251653.1,0,1258,0,1253
XP_315931.4,XP_019882211.1,0,1258,0,1253
XP_315931.4,XP_019882212.1,0,1258,0,1253
XP_315935.4,XP_011254146.1,0,641,0,641
XP_315936.4,XP_011264398.1,0,806,0,793
XP_315936.4,XP_011264399.2,0,830,0,818
XP_315937.4,XP_025262011.1,7.00E-71,247,6.00E-71,247
XP_315939.2,XP_011264234.1,4.00E-93,278,2.00E-93,278
XP_315939.2,XP_025269817.1,2.00E-95,284,9.00E-96,284
XP_315940.3,XP_011261468.1,3.00E-170,489,2.00E-169,486
XP_315940.3,XP_011261469.1,3.00E-171,491,2.00E-169,486
XP_315940.3,XP_011261471.1,5.00E-170,488,6.00E-170,486
XP_315940.3,XP_019884082.1,4.00E-170,489,3.00E-169,486
XP_315940.3,XP_019884083.1,3.00E-172,494,4.00E-171,491
XP_315941.1,XP_011255986.1,0,667,0,667
XP_315942.3,XP_011255986.1,0,668,0,668
XP_315943.3,XP_011255986.1,0,647,0,647
XP_315944.3,XP_011252287.1,8.00E-180,519,0,520
XP_315944.3,XP_011252288.1,8.00E-180,519,0,520
XP_315944.3,XP_025268915.1,8.00E-180,519,0,520
XP_315945.4,XP_025269755.1,0,575,0,598
XP_315947.2,XP_011250856.1,2.00E-115,329,1.00E-115,329
XP_315948.4,XP_025263838.1,0,929,0,927
XP_315949.4,XP_011252037.1,0,530,2.00E-170,490
XP_315949.4,XP_011252038.1,0,530,2.00E-170,490
XP_315949.4,XP_011252039.1,0,530,2.00E-170,490
XP_315949.4,XP_025264999.1,0,530,2.00E-170,490
XP_315950.4,XP_011259809.1,7.00E-95,281,2.00E-94,279
XP_315950.4,XP_011259811.1,2.00E-97,287,7.00E-97,285
XP_315951.4,XP_011257987.2,6.00E-23,92.4,3.00E-23,92.4
XP_315952.3,XP_011250555.1,2.00E-68,229,6.00E-68,227
XP_315953.3,XP_019885483.2,5.00E-60,195,2.00E-60,195
XP_315958.4,XP_011267604.1,2.00E-110,332,3.00E-105,317
XP_315958.4,XP_011267605.1,2.00E-110,332,3.00E-105,317
XP_315958.4,XP_011267606.1,2.00E-110,332,3.00E-105,317
XP_315959.4,XP_011258310.1,2.00E-90,275,4.00E-94,283
XP_315959.4,XP_025268121.1,8.00E-88,270,3.00E-88,270
XP_315959.4,XP_025268122.1,8.00E-88,270,3.00E-88,270
XP_315962.4,XP_011262714.1,2.00E-112,346,2.00E-112,345
XP_315962.4,XP_011262715.1,2.00E-112,346,2.00E-112,345
XP_315962.4,XP_019884347.1,4.00E-106,329,7.00E-106,328
XP_315964.4,XP_011266914.2,6.00E-156,451,8.00E-152,439
XP_315965.2,XP_019885082.1,2.00E-25,92.4,4.00E-17,70.1
XP_315966.4,XP_011257060.1,2.00E-35,128,2.00E-32,119
XP_315969.4,XP_011266054.1,0,594,0,589
XP_315979.4,XP_011251900.1,3.00E-138,398,1.00E-138,398
XP_315979.4,XP_011251901.1,3.00E-141,405,1.00E-141,405
XP_315981.4,XP_011269472.2,1.00E-41,160,4.00E-40,154
XP_315982.2,XP_019885146.1,4.00E-88,258,2.00E-88,258
XP_315983.2,XP_011257950.1,7.00E-176,506,3.00E-176,506
XP_315983.2,XP_025266346.1,3.00E-174,502,1.00E-174,502
XP_315985.3,XP_025265718.1,1.00E-93,287,4.00E-94,287
XP_315985.3,XP_025265753.1,8.00E-93,285,4.00E-93,285
XP_315985.3,XP_025266476.1,4.00E-98,298,2.00E-98,298
XP_315985.3,XP_025266477.1,4.00E-98,298,2.00E-98,298
XP_315985.3,XP_025266478.1,4.00E-98,298,2.00E-98,298
XP_315985.3,XP_025266479.1,2.00E-98,299,7.00E-99,299
XP_315985.3,XP_025266480.1,8.00E-93,285,4.00E-93,285
XP_315994.4,XP_011257000.1,1.00E-96,286,2.00E-95,282
XP_315994.4,XP_019883219.1,5.00E-93,277,7.00E-92,273
XP_315995.1,XP_011260605.1,3.00E-92,282,3.00E-87,269
XP_315996.3,XP_011269709.1,0,546,0,567
XP_315997.4,XP_019885607.1,1.00E-17,76.6,8.00E-18,76.6
XP_315997.4,XP_025268870.1,2.00E-17,76.6,1.00E-17,76.6
XP_315997.4,XP_025268871.1,2.00E-17,76.6,1.00E-17,76.6
XP_315998.4,XP_011265874.2,5.00E-109,328,2.00E-106,321
XP_315999.4,XP_011265873.1,1.00E-103,314,8.00E-104,314
XP_316000.1,XP_011254417.1,8.00E-132,378,2.00E-121,351
XP_316001.4,XP_011256728.1,0,683,0,676
XP_316002.4,XP_011262105.1,5.00E-117,373,1.00E-126,397
XP_316007.4,XP_025270869.1,5.00E-116,352,5.00E-117,353
XP_316013.4,XP_011268214.1,7.00E-84,278,3.00E-84,278
XP_316017.4,XP_011251943.2,5.00E-137,397,4.00E-137,396
XP_316020.4,XP_011268981.1,0,721,0,713
XP_316020.4,XP_011268982.1,0,720,0,712
XP_316020.4,XP_011268983.1,0,720,0,712
XP_316020.4,XP_011268984.1,0,719,0,713
XP_316020.4,XP_011268985.1,0,719,0,712
XP_316022.3,XP_025270768.1,4.00E-47,152,2.00E-47,152
XP_316023.4,XP_011262470.1,4.00E-139,410,1.00E-131,390
XP_316023.4,XP_011262471.1,2.00E-139,409,5.00E-132,390
XP_316023.4,XP_011262472.1,1.00E-145,420,2.00E-138,400
XP_316024.4,XP_011252179.1,8.00E-164,470,3.00E-160,460
XP_316025.4,XP_011259102.1,1.00E-33,127,7.00E-34,126
XP_316026.3,XP_011263991.2,1.00E-165,481,4.00E-163,473
XP_316026.3,XP_025264130.1,4.00E-166,481,1.00E-163,474
XP_316031.4,XP_011253153.2,0,550,0,550
XP_316031.4,XP_011253154.2,0,550,0,549
XP_316032.4,XP_011253155.1,2.00E-80,243,7.00E-81,243
XP_316033.4,XP_011259976.1,8.00E-40,135,1.00E-41,139
XP_316034.4,XP_011263096.1,2.00E-163,478,7.00E-164,478
XP_316034.4,XP_011263098.1,2.00E-163,478,7.00E-164,478
XP_316036.1,XP_011261173.1,6.00E-30,105,3.00E-25,92.8
XP_316036.1,XP_011261174.1,9.00E-32,110,8.00E-27,97.1
XP_316041.3,XP_011261174.1,4.00E-28,101,2.00E-28,101
XP_316043.3,XP_011261175.1,6.00E-19,77.4,3.00E-24,90.1
XP_316048.4,XP_011261805.1,6.00E-134,396,2.00E-134,396
XP_316052.4,XP_011266912.1,2.00E-97,330,3.00E-98,331
XP_316052.4,XP_011266913.1,1.00E-97,330,3.00E-98,330
XP_316055.4,XP_011261897.2,5.00E-172,506,2.00E-172,506
XP_316055.4,XP_011261898.2,8.00E-180,526,3.00E-180,526
XP_316057.3,XP_019882987.1,0,736,0,736
XP_316057.3,XP_019882988.1,0,743,0,744
XP_316058.4,XP_011255804.1,2.00E-164,481,2.00E-169,493
XP_316058.4,XP_011255805.1,1.00E-164,482,5.00E-170,494
XP_316058.4,XP_011255807.1,1.00E-164,482,1.00E-169,493
XP_316061.3,XP_011252285.1,0,853,0,854
XP_316064.3,XP_011252283.1,1.00E-94,278,6.00E-95,278
XP_316064.3,XP_011252284.1,1.00E-94,278,6.00E-95,278
XP_316064.3,XP_019882349.1,1.00E-94,278,6.00E-95,278
XP_316066.4,XP_011252276.1,0,1396,0,1409
XP_316066.4,XP_011252277.1,0,1393,0,1405
XP_316066.4,XP_011252278.1,0,1393,0,1405
XP_316066.4,XP_019882341.1,0,1396,0,1410
XP_316070.4,XP_011252265.1,0,766,0,754
XP_316070.4,XP_011252266.1,0,763,0,753
XP_316070.4,XP_011252267.2,0,769,0,758
XP_316070.4,XP_011252268.2,0,767,0,756
XP_316070.4,XP_011252270.1,0,765,0,754
XP_316070.4,XP_019882338.1,0,767,0,756
XP_316070.4,XP_019882339.1,0,771,0,760
XP_316070.4,XP_025268923.1,0,769,0,758
XP_316071.4,XP_011252265.1,0,770,0,758
XP_316071.4,XP_011252266.1,0,768,0,756
XP_316071.4,XP_011252267.2,0,766,0,755
XP_316071.4,XP_011252268.2,0,763,0,753
XP_316071.4,XP_011252270.1,0,769,0,758
XP_316071.4,XP_019882338.1,0,772,0,760
XP_316071.4,XP_019882339.1,0,767,0,756
XP_316071.4,XP_025268923.1,0,765,0,754
XP_316074.4,XP_011257085.1,9.00E-50,166,4.00E-50,166
XP_316074.4,XP_011257095.1,9.00E-50,166,4.00E-50,166
XP_316078.4,XP_011259452.2,2.00E-141,429,4.00E-151,453
XP_316078.4,XP_025264412.1,2.00E-141,429,4.00E-151,453
XP_316080.4,XP_011258275.1,4.00E-73,228,2.00E-73,228
XP_316087.3,XP_011267703.1,6.00E-58,184,2.00E-58,184
XP_316088.3,XP_025261863.1,5.00E-71,222,4.00E-74,228
XP_316088.3,XP_025261864.1,3.00E-71,222,2.00E-74,229
XP_316088.3,XP_025261865.1,1.00E-71,222,1.00E-74,228
XP_316088.3,XP_025261866.1,1.00E-71,222,1.00E-74,228
XP_316089.4,XP_011257488.1,0,740,0,730
XP_316092.4,XP_011259117.1,0,665,0,654
XP_316092.4,XP_011259118.1,0,665,0,654
XP_316095.4,XP_011261672.1,0,1740,0,1749
XP_316095.4,XP_011261673.1,0,1735,0,1744
XP_316095.4,XP_019884106.1,0,1740,0,1749
XP_316095.4,XP_019884107.1,0,1737,0,1743
XP_316099.4,XP_025262036.1,3.00E-116,356,1.00E-116,356
XP_316099.4,XP_025265925.1,5.00E-119,363,1.00E-121,369
XP_316099.4,XP_025265926.1,5.00E-119,363,1.00E-121,369
XP_316099.4,XP_025266523.1,1.00E-118,362,5.00E-119,362
XP_316099.4,XP_025266524.1,1.00E-119,365,5.00E-120,365
XP_316099.4,XP_025266590.1,4.00E-121,369,2.00E-121,369
XP_316099.4,XP_025266593.1,2.00E-121,369,9.00E-122,369
XP_316099.4,XP_025266594.1,4.00E-120,366,2.00E-120,366
XP_316100.4,XP_011258722.1,5.00E-149,442,2.00E-149,442
XP_316100.4,XP_025263543.1,2.00E-148,441,1.00E-148,441
XP_316101.4,XP_011253691.1,2.00E-83,277,8.00E-84,277
XP_316106.4,XP_011265299.1,1.00E-10,56.2,6.00E-11,56.2
XP_316107.4,XP_011253762.2,4.00E-177,504,4.00E-175,498
XP_316107.4,XP_011253763.2,4.00E-177,504,4.00E-175,498
XP_316107.4,XP_011253764.2,2.00E-177,504,2.00E-176,501
XP_316107.4,XP_011253766.2,3.00E-177,503,5.00E-175,497
XP_316107.4,XP_025265008.1,2.00E-177,504,1.00E-176,501
XP_316115.1,XP_019885223.1,4.00E-40,130,2.00E-40,130
XP_316116.4,XP_011261266.1,4.00E-159,460,2.00E-159,460
XP_316117.3,XP_011255698.2,2.00E-179,543,1.00E-178,540
XP_316117.3,XP_011255699.2,3.00E-180,545,2.00E-179,542
XP_316118.4,XP_011255694.1,6.00E-148,450,3.00E-152,461
XP_316118.4,XP_011255695.1,6.00E-148,450,3.00E-152,461
XP_316118.4,XP_011255696.1,6.00E-148,450,3.00E-152,461
XP_316118.4,XP_011255697.1,6.00E-148,450,3.00E-152,461
XP_316121.4,XP_011269398.1,1.00E-39,134,2.00E-43,142
XP_316138.4,XP_011257212.1,0,721,0,718
XP_316139.4,XP_011252613.1,0,737,0,748
XP_316139.4,XP_011252614.1,0,738,0,748
XP_316139.4,XP_011252615.1,0,736,0,748
XP_316139.4,XP_011252617.1,0,738,0,749
XP_316140.4,XP_011258281.1,1.00E-31,120,6.00E-32,119
XP_316140.4,XP_011258282.1,1.00E-31,120,6.00E-32,119
XP_316140.4,XP_011258284.1,1.00E-31,120,6.00E-32,119
XP_316141.4,XP_011259868.1,2.00E-113,333,8.00E-114,333
XP_316143.4,XP_011268501.1,2.00E-44,157,6.00E-39,142
XP_316144.4,XP_025270505.1,1.00E-88,281,8.00E-89,280
XP_316144.4,XP_025270506.1,1.00E-88,281,8.00E-89,280
XP_316144.4,XP_025270507.1,4.00E-85,269,2.00E-85,269
XP_316149.4,XP_011267829.1,1.00E-178,501,6.00E-179,501
XP_316149.4,XP_011267831.1,1.00E-178,501,6.00E-179,501
XP_316149.4,XP_019885284.1,1.00E-178,501,6.00E-179,501
XP_316149.4,XP_025263999.1,5.00E-178,501,2.00E-178,501
XP_316149.4,XP_025264000.1,1.00E-178,501,6.00E-179,501
XP_316150.4,XP_011263499.1,4.00E-132,409,2.00E-134,414
XP_316150.4,XP_011263500.1,4.00E-132,409,2.00E-134,414
XP_316153.4,XP_025265967.1,0,684,0,666
XP_316154.4,XP_025267174.1,1.00E-139,418,1.00E-139,417
XP_316154.4,XP_025267175.1,2.00E-141,422,1.00E-140,419
XP_316155.4,XP_025267174.1,2.00E-140,420,1.00E-141,422
XP_316155.4,XP_025267175.1,4.00E-139,417,5.00E-139,415
XP_316158.3,XP_011268973.1,3.00E-101,313,7.00E-94,294
XP_316159.4,XP_011251202.1,6.00E-56,182,3.00E-56,182
XP_316160.4,XP_011264979.1,0,609,0,627
XP_316160.4,XP_011264980.1,0,609,0,627
XP_316160.4,XP_011264981.1,0,609,0,627
XP_316160.4,XP_019884740.1,0,621,0,638
XP_316161.4,XP_011252200.1,4.00E-55,173,2.00E-55,173
XP_316164.4,XP_011265646.1,2.00E-155,441,7.00E-156,441
XP_316167.4,XP_011265445.2,0,2042,0,2093
XP_316167.4,XP_025268654.1,0,2025,0,2075
XP_316167.4,XP_025268656.1,0,2025,0,2075
XP_316167.4,XP_025268657.1,0,2023,0,2078
XP_316167.4,XP_025268658.1,0,2023,0,2077
XP_316167.4,XP_025268659.1,0,2024,0,2075
XP_316171.4,XP_025267726.1,1.00E-74,230,7.00E-73,224
XP_316171.4,XP_025267727.1,1.00E-74,230,7.00E-73,224
XP_316171.4,XP_025267729.1,6.00E-76,233,6.00E-74,227
XP_316171.4,XP_025267730.1,6.00E-74,228,5.00E-72,222
XP_316171.4,XP_025267731.1,6.00E-74,228,5.00E-72,222
XP_316171.4,XP_025271110.1,7.00E-78,238,2.00E-75,231
XP_316171.4,XP_025271111.1,1.00E-74,230,7.00E-73,224
XP_316171.4,XP_025271112.1,1.00E-74,230,7.00E-73,224
XP_316171.4,XP_025271117.1,7.00E-78,238,2.00E-75,231
XP_316171.4,XP_025271118.1,7.00E-78,238,2.00E-75,231
XP_316172.4,XP_011251861.1,0,592,0,593
XP_316175.4,XP_011255886.3,0,876,0,871
XP_316177.2,XP_011250669.1,2.00E-115,341,2.00E-111,330
XP_316179.4,XP_011253793.2,8.00E-48,172,6.00E-54,188
XP_316185.3,XP_011256457.1,7.00E-90,266,1.00E-87,259
XP_316190.3,XP_011252594.1,0,767,0,742
XP_316194.4,XP_011266357.1,8.00E-109,330,2.00E-110,334
XP_316199.4,XP_011266944.1,4.00E-87,268,5.00E-83,256
XP_316199.4,XP_011266945.1,5.00E-86,265,5.00E-82,253
XP_316199.4,XP_011266946.1,5.00E-86,265,5.00E-82,253
XP_316199.4,XP_011266947.1,5.00E-86,265,5.00E-82,253
XP_316199.4,XP_025263826.1,5.00E-86,265,5.00E-82,253
XP_316201.4,XP_011254955.1,0,529,0,523
XP_316203.2,XP_011266342.1,7.00E-153,433,3.00E-153,433
XP_316205.3,XP_011262044.1,4.00E-73,231,2.00E-72,228
