amel,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_026295729.1,XP_019885165.1,0,3574,0,3559
XP_026295729.1,XP_019885167.1,0,3549,0,3530
XP_026295729.1,XP_025268079.1,0,3601,0,3581
XP_026295729.1,XP_025268080.1,0,3580,0,3566
XP_026295729.1,XP_025268084.1,0,3578,0,3558
XP_026295729.1,XP_025268088.1,0,3539,0,3521
XP_026295729.1,XP_025268090.1,0,3671,0,3650
XP_026295729.1,XP_025268091.1,0,3625,0,3602
XP_026295729.1,XP_025268093.1,0,3596,0,3576
XP_026295729.1,XP_025268094.1,0,3652,0,3633
XP_026295729.1,XP_025268095.1,0,3543,0,3523
XP_026295730.1,XP_011267301.1,0,3609,0,3613
XP_026295730.1,XP_011267303.1,0,3598,0,3601
XP_026295730.1,XP_011267306.1,0,3594,0,3595
XP_026295730.1,XP_011267309.1,0,3635,0,3637
XP_026295730.1,XP_011267311.1,0,3556,0,3557
XP_026295730.1,XP_011267312.1,0,3564,0,3565
XP_026295730.1,XP_011267317.1,0,3643,0,3643
XP_026295730.1,XP_011267319.1,0,3628,0,3629
XP_026295730.1,XP_011267323.1,0,3567,0,3566
XP_026295730.1,XP_011267324.1,0,3564,0,3565
XP_026295730.1,XP_011267325.1,0,3561,0,3561
XP_026295730.1,XP_011267326.1,0,3566,0,3566
XP_026295730.1,XP_011267327.1,0,3565,0,3565
XP_026295730.1,XP_011267330.1,0,3564,0,3565
XP_026295730.1,XP_011267332.1,0,3541,0,3543
XP_026295730.1,XP_011267336.1,0,3574,0,3575
XP_026295730.1,XP_011267342.1,0,3502,0,3492
XP_026295730.1,XP_019885165.1,0,3568,0,3569
XP_026295730.1,XP_019885166.1,0,3559,0,3558
XP_026295730.1,XP_019885169.2,0,3549,0,3548
XP_026295730.1,XP_025268073.1,0,3572,0,3571
XP_026295730.1,XP_025268074.1,0,3578,0,3577
XP_026295730.1,XP_025268078.1,0,3573,0,3571
XP_026295730.1,XP_025268079.1,0,3598,0,3598
XP_026295730.1,XP_025268080.1,0,3574,0,3576
XP_026295730.1,XP_025268081.1,0,3588,0,3585
XP_026295730.1,XP_025268082.1,0,3606,0,3605
XP_026295730.1,XP_025268084.1,0,3576,0,3576
XP_026295730.1,XP_025268085.1,0,3570,0,3571
XP_026295730.1,XP_025268087.1,0,3541,0,3543
XP_026295730.1,XP_025268088.1,0,3550,0,3551
XP_026295731.1,XP_011253229.2,0,4046,0,4066
XP_026295731.1,XP_011253230.2,0,4046,0,4066
XP_026295731.1,XP_011253232.2,0,4030,0,4048
XP_026295732.1,XP_011253229.2,0,4030,0,4048
XP_026295732.1,XP_011253230.2,0,4030,0,4048
XP_026295732.1,XP_011253232.2,0,4036,0,4054
XP_026295733.1,XP_011253233.2,0,3692,0,3711
XP_026295733.1,XP_011253234.2,0,3674,0,3695
XP_026295734.1,XP_011253233.2,0,3675,0,3695
XP_026295734.1,XP_011253234.2,0,3682,0,3701
XP_026295735.1,XP_011253236.1,0,1692,0,1690
XP_026295736.1,XP_011253235.2,0,1600,0,1600
XP_026295736.1,XP_011253238.1,0,1600,0,1600
XP_026295736.1,XP_025265359.1,0,1600,0,1600
XP_026295737.1,XP_011253235.2,0,1600,0,1600
XP_026295737.1,XP_011253238.1,0,1600,0,1600
XP_026295737.1,XP_025265359.1,0,1600,0,1600
XP_026295738.1,XP_011253235.2,0,1600,0,1600
XP_026295738.1,XP_011253238.1,0,1600,0,1600
XP_026295738.1,XP_025265359.1,0,1600,0,1600
XP_026295755.1,XP_025264415.1,1.00E-155,455,2.00E-155,455
XP_026295755.1,XP_025264417.1,1.00E-155,455,2.00E-155,455
XP_026295755.1,XP_025264421.1,1.00E-155,455,2.00E-155,455
XP_026295755.1,XP_025264423.1,1.00E-155,455,2.00E-155,455
XP_026295756.1,XP_011265517.1,5.00E-85,254,6.00E-85,254
XP_026295758.1,XP_011254625.1,6.00E-107,305,7.00E-107,305
XP_026295758.1,XP_011254626.1,6.00E-107,305,7.00E-107,305
XP_026295758.1,XP_011266691.1,6.00E-107,305,7.00E-107,305
XP_026295759.1,XP_025264415.1,1.00E-155,455,2.00E-155,455
XP_026295759.1,XP_025264417.1,1.00E-155,455,2.00E-155,455
XP_026295759.1,XP_025264421.1,1.00E-155,455,2.00E-155,455
XP_026295759.1,XP_025264423.1,1.00E-155,455,2.00E-155,455
XP_026295760.1,XP_011265509.1,0,734,0,734
XP_026295760.1,XP_011265510.1,0,734,0,734
XP_026295760.1,XP_011265513.1,0,739,0,739
XP_026295760.1,XP_019884850.1,0,734,0,734
XP_026295760.1,XP_025264942.1,0,734,0,734
XP_026295761.1,XP_011265509.1,0,734,0,734
XP_026295761.1,XP_011265510.1,0,734,0,734
XP_026295761.1,XP_011265513.1,0,738,0,738
XP_026295761.1,XP_019884850.1,0,734,0,734
XP_026295761.1,XP_025264942.1,0,734,0,734
XP_026295762.1,XP_011265509.1,0,734,0,734
XP_026295762.1,XP_011265510.1,0,734,0,734
XP_026295762.1,XP_011265513.1,0,738,0,738
XP_026295762.1,XP_019884850.1,0,734,0,734
XP_026295762.1,XP_025264942.1,0,734,0,734
XP_026295763.1,XP_011265515.1,0,641,0,641
XP_026295763.1,XP_025264944.1,0,641,0,641
XP_026295766.1,XP_011268805.2,4.00E-153,439,7.00E-159,453
XP_026295767.1,XP_011256606.1,5.00E-180,505,2.00E-178,501
XP_026295767.1,XP_011256608.1,5.00E-180,505,2.00E-178,501
XP_026295767.1,XP_019883151.1,5.00E-180,505,2.00E-178,501
XP_026295767.1,XP_019883152.1,5.00E-180,505,2.00E-178,501
XP_026295768.1,XP_025268683.1,0,1009,0,1009
XP_026295769.1,XP_011262253.1,0,1098,0,1109
XP_026295770.1,XP_011262253.1,0,1100,0,1105
XP_026295771.1,XP_019882336.2,6.00E-32,134,4.00E-40,160
XP_026295772.1,XP_025263316.1,0,1759,0,1759
XP_026295772.1,XP_025263317.1,0,1743,0,1743
XP_026295772.1,XP_025263318.1,0,1748,0,1748
XP_026295773.1,XP_025263316.1,0,1743,0,1743
XP_026295773.1,XP_025263317.1,0,1749,0,1749
XP_026295773.1,XP_025263318.1,0,1753,0,1753
XP_026295776.1,XP_025268685.1,6.00E-178,508,0,545
XP_026295777.1,XP_025268685.1,6.00E-178,508,0,545
XP_026295778.1,XP_019882220.2,5.00E-160,464,5.00E-160,464
XP_026295778.1,XP_025268957.1,6.00E-159,461,6.00E-159,461
XP_026295782.1,XP_011255821.1,0,3160,0,3114
XP_026295782.1,XP_011255823.1,0,3154,0,3108
XP_026295782.1,XP_011255824.1,0,3131,0,3088
XP_026295783.1,XP_011255821.1,0,3150,0,3105
XP_026295783.1,XP_011255823.1,0,3145,0,3100
XP_026295783.1,XP_011255824.1,0,3123,0,3079
XP_026295784.1,XP_011255821.1,0,3154,0,3110
XP_026295784.1,XP_011255823.1,0,3150,0,3104
XP_026295784.1,XP_011255824.1,0,3127,0,3082
XP_026295785.1,XP_011255821.1,0,3130,0,3088
XP_026295785.1,XP_011255823.1,0,3125,0,3080
XP_026295785.1,XP_011255824.1,0,3140,0,3098
XP_026295786.1,XP_011255821.1,0,3135,0,3093
XP_026295786.1,XP_011255823.1,0,3129,0,3086
XP_026295786.1,XP_011255824.1,0,3144,0,3102
XP_026295787.1,XP_011255825.1,0,3029,0,2986
XP_026295788.1,XP_011255826.1,0,3012,0,2966
XP_026295789.1,XP_011255827.1,0,3056,0,3005
XP_026295794.1,XP_025267018.1,0,2798,0,2799
XP_026295795.1,XP_025267020.1,2.00E-111,324,2.00E-111,324
XP_026295796.1,XP_011255526.1,0,1864,0,1864
XP_026295796.1,XP_025265517.1,0,1864,0,1864
XP_026295797.1,XP_011255527.1,0,1821,0,1793
XP_026295797.1,XP_011255528.1,0,1821,0,1793
XP_026295797.1,XP_011255532.1,0,1821,0,1793
XP_026295797.1,XP_011255533.1,0,1821,0,1793
XP_026295797.1,XP_019882952.1,0,1763,0,1749
XP_026295798.1,XP_011255527.1,0,1821,0,1793
XP_026295798.1,XP_011255528.1,0,1821,0,1793
XP_026295798.1,XP_011255532.1,0,1821,0,1793
XP_026295798.1,XP_011255533.1,0,1821,0,1793
XP_026295798.1,XP_019882952.1,0,1763,0,1749
XP_026295799.1,XP_011255527.1,0,1821,0,1793
XP_026295799.1,XP_011255528.1,0,1821,0,1793
XP_026295799.1,XP_011255532.1,0,1821,0,1793
XP_026295799.1,XP_011255533.1,0,1821,0,1793
XP_026295799.1,XP_019882952.1,0,1763,0,1749
XP_026295801.1,XP_011255515.2,0,1568,0,1548
XP_026295802.1,XP_025268783.1,0,1053,0,1050
XP_026295803.1,XP_025268783.1,0,1053,0,1050
XP_026295804.1,XP_011252916.1,1.00E-95,285,1.00E-95,285
XP_026295804.1,XP_011252917.1,1.00E-95,285,1.00E-95,285
XP_026295804.1,XP_025269885.1,1.00E-95,285,1.00E-95,285
XP_026295804.1,XP_025269886.1,1.00E-95,285,1.00E-95,285
XP_026295805.1,XP_011265525.1,4.00E-130,386,3.00E-125,374
XP_026295807.1,XP_011260130.1,2.00E-108,314,2.00E-116,335
XP_026295807.1,XP_011260131.1,5.00E-107,311,4.00E-115,332
XP_026295810.1,XP_025267098.1,0,1861,0,1881
XP_026295815.1,XP_025268982.1,0,554,0,520
XP_026295819.1,XP_011255538.2,1.00E-132,397,1.00E-131,394
XP_026295819.1,XP_025265521.1,1.00E-132,397,1.00E-131,394
XP_026295819.1,XP_025265522.1,3.00E-131,393,3.00E-131,393
XP_026295820.1,XP_011251356.2,0,824,0,820
XP_026295821.1,XP_011255207.1,0,791,0,763
XP_026295821.1,XP_011255216.1,0,791,0,763
XP_026295821.1,XP_011255224.1,0,791,0,763
XP_026295821.1,XP_025264713.1,0,791,0,763
XP_026295822.1,XP_011255207.1,0,791,0,763
XP_026295822.1,XP_011255216.1,0,791,0,763
XP_026295822.1,XP_011255224.1,0,791,0,763
XP_026295822.1,XP_025264713.1,0,791,0,763
XP_026295823.1,XP_011251722.1,0,2010,0,1999
XP_026295824.1,XP_025262156.1,4.00E-135,428,4.00E-142,446
XP_026295824.1,XP_025262157.1,4.00E-135,428,4.00E-142,446
XP_026295824.1,XP_025262158.1,4.00E-135,428,4.00E-142,446
XP_026295826.1,XP_011252200.1,1.00E-87,256,2.00E-87,256
XP_026295827.1,XP_011257020.1,0,1956,0,1949
XP_026295828.1,XP_019884868.1,0,723,0,737
XP_026295830.1,XP_019885413.2,0,2840,0,2847
XP_026295833.1,XP_025264374.1,0,857,0,857
XP_026295833.1,XP_025264375.1,0,848,0,848
XP_026295833.1,XP_025264376.1,0,848,0,848
XP_026295833.1,XP_025264377.1,0,845,0,845
XP_026295834.1,XP_025264374.1,0,856,0,856
XP_026295834.1,XP_025264375.1,0,847,0,847
XP_026295834.1,XP_025264376.1,0,847,0,847
XP_026295834.1,XP_025264377.1,0,843,0,843
XP_026295835.1,XP_025264374.1,0,887,0,887
XP_026295835.1,XP_025264375.1,0,858,0,858
XP_026295835.1,XP_025264376.1,0,857,0,857
XP_026295835.1,XP_025264377.1,0,850,0,850
XP_026295836.1,XP_025264374.1,0,858,0,858
XP_026295836.1,XP_025264375.1,0,866,0,866
XP_026295836.1,XP_025264376.1,0,859,0,859
XP_026295836.1,XP_025264377.1,0,852,0,852
XP_026295837.1,XP_025264374.1,0,858,0,858
XP_026295837.1,XP_025264375.1,0,859,0,859
XP_026295837.1,XP_025264376.1,0,864,0,864
XP_026295837.1,XP_025264377.1,0,852,0,852
XP_026295838.1,XP_025264374.1,0,852,0,852
XP_026295838.1,XP_025264375.1,0,857,0,857
XP_026295838.1,XP_025264376.1,0,855,0,855
XP_026295838.1,XP_025264377.1,0,852,0,852
XP_026295839.1,XP_025264374.1,0,852,0,852
XP_026295839.1,XP_025264375.1,0,855,0,855
XP_026295839.1,XP_025264376.1,0,854,0,854
XP_026295839.1,XP_025264377.1,0,853,0,853
XP_026295840.1,XP_025264374.1,0,850,0,850
XP_026295840.1,XP_025264375.1,0,842,0,842
XP_026295840.1,XP_025264376.1,0,842,0,842
XP_026295840.1,XP_025264377.1,0,838,0,838
XP_026295841.1,XP_025264377.1,0,813,0,813
XP_026295842.1,XP_025264377.1,0,813,0,813
XP_026295845.1,XP_011258864.1,5.00E-49,172,4.00E-49,172
XP_026295845.1,XP_011258865.1,5.00E-49,172,4.00E-49,172
XP_026295845.1,XP_011258866.1,4.00E-49,172,4.00E-49,172
XP_026295846.1,XP_019883698.2,0,949,0,950
XP_026295846.1,XP_025268786.1,0,949,0,950
XP_026295846.1,XP_025268787.1,0,949,0,950
XP_026295846.1,XP_025268788.1,0,949,0,950
XP_026295846.1,XP_025268789.1,0,949,0,950
XP_026295846.1,XP_025268791.1,0,949,0,950
XP_026295846.1,XP_025268792.1,0,949,0,950
XP_026295846.1,XP_025268793.1,0,949,0,950
XP_026295846.1,XP_025268794.1,0,949,0,950
XP_026295846.1,XP_025268795.1,0,915,0,915
XP_026295846.1,XP_025268796.1,0,923,0,924
XP_026295846.1,XP_025268797.1,0,917,0,917
XP_026295847.1,XP_011252244.2,0,1137,0,1137
XP_026295848.1,XP_011252244.2,0,1137,0,1137
XP_026295849.1,XP_011264383.1,0,2457,0,2382
XP_026295849.1,XP_011264384.1,0,2445,0,2366
XP_026295849.1,XP_011264385.1,0,2492,0,2413
XP_026295849.1,XP_011264386.1,0,2447,0,2370
XP_026295849.1,XP_011264387.1,0,2441,0,2363
XP_026295849.1,XP_011264388.1,0,2427,0,2349
XP_026295849.1,XP_011264389.1,0,2430,0,2353
XP_026295849.1,XP_019884633.1,0,2414,0,2339
XP_026295850.1,XP_011264383.1,0,2457,0,2382
XP_026295850.1,XP_011264384.1,0,2445,0,2366
XP_026295850.1,XP_011264385.1,0,2492,0,2413
XP_026295850.1,XP_011264386.1,0,2447,0,2370
XP_026295850.1,XP_011264387.1,0,2441,0,2363
XP_026295850.1,XP_011264388.1,0,2427,0,2349
XP_026295850.1,XP_011264389.1,0,2430,0,2353
XP_026295850.1,XP_019884633.1,0,2414,0,2339
XP_026295851.1,XP_011264383.1,0,2457,0,2382
XP_026295851.1,XP_011264384.1,0,2445,0,2366
XP_026295851.1,XP_011264385.1,0,2492,0,2413
XP_026295851.1,XP_011264386.1,0,2447,0,2370
XP_026295851.1,XP_011264387.1,0,2441,0,2363
XP_026295851.1,XP_011264388.1,0,2427,0,2349
XP_026295851.1,XP_011264389.1,0,2430,0,2353
XP_026295851.1,XP_019884633.1,0,2414,0,2339
XP_026295852.1,XP_011255613.1,0,952,0,948
XP_026295853.1,XP_011255613.1,0,952,0,948
XP_026295856.1,XP_011267902.1,0,742,0,720
XP_026295856.1,XP_011267903.1,0,735,0,735
XP_026295857.1,XP_025263524.1,4.00E-109,317,5.00E-109,317
XP_026295859.1,XP_011262994.1,1.00E-107,313,1.00E-107,313
XP_026295861.1,XP_011251362.2,0,1537,0,1537
XP_026295861.1,XP_011251363.2,0,1514,0,1514
XP_026295862.1,XP_011251362.2,0,1513,0,1513
XP_026295862.1,XP_011251363.2,0,1490,0,1490
XP_026295864.1,XP_011251365.2,0,1121,0,1121
XP_026295867.1,XP_011260307.1,0,1441,0,1441
XP_026295868.1,XP_011260307.1,0,1441,0,1441
XP_026295870.1,XP_025265474.1,2.00E-106,336,4.00E-133,405
XP_026295872.1,XP_011260123.1,0,712,0,672
XP_026295872.1,XP_011260124.1,0,712,0,672
XP_026295872.1,XP_011260125.1,0,712,0,672
XP_026295873.1,XP_011260123.1,0,712,0,672
XP_026295873.1,XP_011260124.1,0,712,0,672
XP_026295873.1,XP_011260125.1,0,712,0,672
XP_026295874.1,XP_011260123.1,0,712,0,672
XP_026295874.1,XP_011260124.1,0,712,0,672
XP_026295874.1,XP_011260125.1,0,712,0,672
XP_026295875.1,XP_011260123.1,0,712,0,672
XP_026295875.1,XP_011260124.1,0,712,0,672
XP_026295875.1,XP_011260125.1,0,712,0,672
XP_026295876.1,XP_025265207.1,2.00E-107,310,2.00E-107,310
XP_026295877.1,XP_011259050.1,0,805,0,829
XP_026295877.1,XP_011259052.1,0,805,0,830
XP_026295877.1,XP_019883629.1,0,805,0,830
XP_026295877.1,XP_025267208.1,0,805,0,829
XP_026295878.1,XP_011257992.1,0,2637,0,2608
XP_026295878.1,XP_011257994.1,0,2660,0,2622
XP_026295879.1,XP_011257992.1,0,2657,0,2627
XP_026295879.1,XP_011257994.1,0,2678,0,2642
XP_026295883.1,XP_011251135.2,5.00E-151,438,6.00E-151,438
XP_026295887.1,XP_011262274.1,0,1693,0,1689
XP_026295888.1,XP_011257958.1,0,790,0,790
XP_026295890.1,XP_011265502.1,5.00E-116,343,5.00E-116,343
XP_026295891.1,XP_011265502.1,3.00E-116,343,3.00E-116,343
XP_026295892.1,XP_025264947.1,0,545,0,545
XP_026295892.1,XP_025264948.1,0,545,0,545
XP_026295892.1,XP_025264949.1,0,545,0,545
XP_026295893.1,XP_025264947.1,0,545,0,545
XP_026295893.1,XP_025264948.1,0,545,0,545
XP_026295893.1,XP_025264949.1,0,545,0,545
XP_026295894.1,XP_011267582.1,0,742,0,850
XP_026295894.1,XP_011267583.1,0,728,0,836
XP_026295895.1,XP_011267582.1,0,727,0,835
XP_026295895.1,XP_011267583.1,0,729,0,837
XP_026295896.1,XP_011254504.1,0,585,0,585
XP_026295898.1,XP_019884874.1,0,2265,0,2237
XP_026295898.1,XP_025265138.1,0,2241,0,2209
XP_026295900.1,XP_011265687.1,0,1376,0,1391
XP_026295900.1,XP_025265153.1,0,1338,0,1355
XP_026295901.1,XP_011265687.1,0,1338,0,1352
XP_026295901.1,XP_025265153.1,0,1337,0,1350
XP_026295903.1,XP_025265148.1,2.00E-30,106,2.00E-30,106
XP_026295906.1,XP_025268068.1,0,652,0,703
XP_026295906.1,XP_025268069.1,0,644,0,696
XP_026295906.1,XP_025268070.1,0,642,0,692
XP_026295907.1,XP_019884031.2,0,548,0,579
XP_026295907.1,XP_025267655.1,0,548,0,579
XP_026295911.1,XP_019884031.2,0,548,0,579
XP_026295911.1,XP_025267655.1,0,548,0,579
XP_026295912.1,XP_011265698.1,0,671,0,649
XP_026295912.1,XP_011265699.1,0,671,0,649
XP_026295913.1,XP_011265494.2,5.00E-143,433,6.00E-143,433
XP_026295914.1,XP_019884031.2,0,548,0,579
XP_026295914.1,XP_025267655.1,0,548,0,579
XP_026295915.1,XP_025261800.1,0,1730,0,1721
XP_026295917.1,XP_011255382.1,0,1682,0,1698
XP_026295917.1,XP_011255384.1,0,1658,0,1673
XP_026295918.1,XP_011255382.1,0,1676,0,1691
XP_026295918.1,XP_011255384.1,0,1650,0,1666
XP_026295919.1,XP_011264550.1,0,1314,0,1315
XP_026295919.1,XP_025263860.1,0,1288,0,1282
XP_026295920.1,XP_011255382.1,0,1664,0,1680
XP_026295920.1,XP_011255384.1,0,1638,0,1654
XP_026295921.1,XP_011264550.1,0,1314,0,1315
XP_026295921.1,XP_025263860.1,0,1288,0,1282
XP_026295922.1,XP_025266407.1,0,5513,0,5512
XP_026295922.1,XP_025266408.1,0,5513,0,5512
XP_026295923.1,XP_011252156.1,0,4475,0,4469
XP_026295923.1,XP_025266409.1,0,4475,0,4469
XP_026295924.1,XP_011252156.1,0,4474,0,4470
XP_026295924.1,XP_025266409.1,0,4474,0,4470
XP_026295925.1,XP_011252156.1,0,4474,0,4470
XP_026295925.1,XP_025266409.1,0,4474,0,4470
XP_026295926.1,XP_011252156.1,0,4474,0,4470
XP_026295926.1,XP_025266409.1,0,4474,0,4470
XP_026295927.1,XP_025266425.1,0,1454,0,1431
XP_026295928.1,XP_011264550.1,0,1293,0,1282
XP_026295928.1,XP_025263860.1,0,1308,0,1299
XP_026295929.1,XP_011255365.2,0,1002,0,993
XP_026295929.1,XP_011255366.2,0,1003,0,994
XP_026295929.1,XP_011255367.2,0,1001,0,994
XP_026295930.1,XP_011258621.1,2.00E-155,445,5.00E-162,462
XP_026295931.1,XP_011267624.2,0,1060,0,1048
XP_026295931.1,XP_011267625.2,0,1060,0,1048
XP_026295931.1,XP_025270060.1,0,1060,0,1046
XP_026295931.1,XP_025270061.1,0,1060,0,1047
XP_026295931.1,XP_025270063.1,0,1060,0,1048
XP_026295932.1,XP_011264547.1,0,529,0,522
XP_026295932.1,XP_011264548.1,0,525,9.00E-180,519
XP_026295933.1,XP_011267624.2,0,1060,0,1048
XP_026295933.1,XP_011267625.2,0,1060,0,1048
XP_026295933.1,XP_025270060.1,0,1060,0,1046
XP_026295933.1,XP_025270061.1,0,1060,0,1047
XP_026295933.1,XP_025270063.1,0,1060,0,1048
XP_026295934.1,XP_011267624.2,0,1060,0,1048
XP_026295934.1,XP_011267625.2,0,1060,0,1048
XP_026295934.1,XP_025270060.1,0,1060,0,1046
XP_026295934.1,XP_025270061.1,0,1060,0,1047
XP_026295934.1,XP_025270063.1,0,1060,0,1048
XP_026295935.1,XP_011267624.2,0,1060,0,1048
XP_026295935.1,XP_011267625.2,0,1060,0,1048
XP_026295935.1,XP_025270060.1,0,1060,0,1046
XP_026295935.1,XP_025270061.1,0,1060,0,1047
XP_026295935.1,XP_025270063.1,0,1060,0,1048
XP_026295936.1,XP_011267624.2,0,1060,0,1048
XP_026295936.1,XP_011267625.2,0,1060,0,1048
XP_026295936.1,XP_025270060.1,0,1060,0,1046
XP_026295936.1,XP_025270061.1,0,1060,0,1047
XP_026295936.1,XP_025270063.1,0,1060,0,1048
XP_026295938.1,XP_011264547.1,0,525,3.00E-180,519
XP_026295938.1,XP_011264548.1,0,525,4.00E-180,519
XP_026295940.1,XP_011260266.1,0,5083,0,5089
XP_026295940.1,XP_019883812.1,0,5090,0,5095
XP_026295940.1,XP_025262266.1,0,5068,0,5070
XP_026295940.1,XP_025262267.1,0,5068,0,5070
XP_026295941.1,XP_011260266.1,0,5083,0,5089
XP_026295941.1,XP_019883812.1,0,5090,0,5095
XP_026295941.1,XP_025262266.1,0,5068,0,5070
XP_026295941.1,XP_025262267.1,0,5068,0,5070
XP_026295942.1,XP_011260266.1,0,5091,0,5096
XP_026295942.1,XP_019883812.1,0,5096,0,5102
XP_026295942.1,XP_025262266.1,0,5078,0,5080
XP_026295942.1,XP_025262267.1,0,5078,0,5080
XP_026295943.1,XP_011260266.1,0,5072,0,5076
XP_026295943.1,XP_019883812.1,0,5081,0,5084
XP_026295943.1,XP_025262266.1,0,5070,0,5075
XP_026295943.1,XP_025262267.1,0,5070,0,5075
XP_026295949.1,XP_025266382.1,0,788,0,807
XP_026295950.1,XP_025264194.1,0,1051,0,1036
XP_026295950.1,XP_025264195.1,0,1045,0,1030
XP_026295950.1,XP_025264196.1,0,1021,0,1006
XP_026295951.1,XP_025264194.1,0,1045,0,1030
XP_026295951.1,XP_025264195.1,0,1049,0,1034
XP_026295951.1,XP_025264196.1,0,1014,0,1000
XP_026295952.1,XP_025264194.1,0,1045,0,1030
XP_026295952.1,XP_025264195.1,0,1038,0,1023
XP_026295952.1,XP_025264196.1,0,1014,0,1000
XP_026295953.1,XP_025264194.1,0,1020,0,1005
XP_026295953.1,XP_025264195.1,0,1014,0,999
XP_026295953.1,XP_025264196.1,0,1031,0,1016
XP_026295956.1,XP_025264197.1,0,939,0,926
XP_026295958.1,XP_025264198.1,0,821,0,780
XP_026295959.1,XP_019885021.2,0,942,0,972
XP_026295959.1,XP_025265553.1,0,942,0,972
XP_026295959.1,XP_025265554.1,0,942,0,972
XP_026295960.1,XP_019885021.2,0,942,0,972
XP_026295960.1,XP_025265553.1,0,942,0,972
XP_026295960.1,XP_025265554.1,0,942,0,972
XP_026295961.1,XP_011257775.1,1.00E-107,323,2.00E-104,315
XP_026295963.1,XP_011262257.2,0,1395,0,1397
XP_026295963.1,XP_011262258.2,0,1412,0,1415
XP_026295964.1,XP_011262257.2,0,1395,0,1397
XP_026295964.1,XP_011262258.2,0,1412,0,1415
XP_026295966.1,XP_011262257.2,0,1340,0,1342
XP_026295966.1,XP_011262258.2,0,1359,0,1358
XP_026295967.1,XP_011262260.1,0,1117,0,1111
XP_026295967.1,XP_011262261.1,0,1164,0,1157
XP_026295967.1,XP_011262270.1,0,1172,0,1161
XP_026295967.1,XP_019884214.1,0,1164,0,1157
XP_026295967.1,XP_019884215.1,0,1164,0,1157
XP_026295967.1,XP_019884216.1,0,1158,0,1150
XP_026295967.1,XP_019884217.1,0,1153,0,1144
XP_026295967.1,XP_025267076.1,0,1125,0,1117
XP_026295968.1,XP_011262260.1,0,1117,0,1111
XP_026295968.1,XP_011262261.1,0,1164,0,1157
XP_026295968.1,XP_011262270.1,0,1172,0,1161
XP_026295968.1,XP_019884214.1,0,1164,0,1157
XP_026295968.1,XP_019884215.1,0,1164,0,1157
XP_026295968.1,XP_019884216.1,0,1158,0,1150
XP_026295968.1,XP_019884217.1,0,1153,0,1144
XP_026295968.1,XP_025267076.1,0,1125,0,1117
XP_026295969.1,XP_011262260.1,0,1171,0,1161
XP_026295969.1,XP_011262261.1,0,1120,0,1109
XP_026295969.1,XP_011262270.1,0,1127,0,1114
XP_026295969.1,XP_019884214.1,0,1120,0,1109
XP_026295969.1,XP_019884215.1,0,1120,0,1109
XP_026295969.1,XP_025267076.1,0,1177,0,1167
XP_026295970.1,XP_011262272.1,0,1107,0,1096
XP_026295970.1,XP_025267077.1,0,1101,0,1089
XP_026295971.1,XP_011256131.1,0,579,0,598
XP_026295971.1,XP_011256132.1,0,569,0,588
XP_026295973.1,XP_025270907.1,0,1919,0,1913
XP_026295974.1,XP_011255406.1,0,1276,0,1256
XP_026295974.1,XP_011255407.1,0,1271,0,1251
XP_026295975.1,XP_025267328.1,0,1187,0,1187
XP_026295978.1,XP_011251371.1,3.00E-168,483,4.00E-168,483
XP_026295980.1,XP_011255511.2,0,1311,0,1334
XP_026295980.1,XP_011255513.2,0,1257,0,1281
XP_026295981.1,XP_011255511.2,0,1257,0,1278
XP_026295981.1,XP_011255513.2,0,1271,0,1293
XP_026295982.1,XP_011260279.1,0,557,0,557
XP_026295984.1,XP_011255624.1,1.00E-113,323,1.00E-113,323
XP_026295985.1,XP_011255623.1,4.00E-112,319,5.00E-112,319
XP_026295986.1,XP_025263257.1,2.00E-136,393,2.00E-136,393
XP_026295988.1,XP_025264946.1,0,919,0,952
XP_026295995.1,XP_011252169.1,0,694,0,704
XP_026295999.1,XP_011267637.1,0,4598,0,4630
XP_026295999.1,XP_011267639.1,0,4568,0,4596
XP_026295999.1,XP_011267641.1,0,4509,0,4556
XP_026295999.1,XP_025269993.1,0,4598,0,4630
XP_026296000.1,XP_011267637.1,0,4607,0,4637
XP_026296000.1,XP_011267639.1,0,4574,0,4602
XP_026296000.1,XP_011267641.1,0,4518,0,4562
XP_026296000.1,XP_025269993.1,0,4607,0,4637
XP_026296001.1,XP_011267637.1,0,4568,0,4597
XP_026296001.1,XP_011267639.1,0,4576,0,4603
XP_026296001.1,XP_011267641.1,0,4514,0,4564
XP_026296001.1,XP_025269993.1,0,4568,0,4597
XP_026296002.1,XP_011267637.1,0,4544,0,4590
XP_026296002.1,XP_011267639.1,0,4511,0,4556
XP_026296002.1,XP_011267641.1,0,4527,0,4573
XP_026296002.1,XP_025269993.1,0,4544,0,4590
XP_026296003.1,XP_011267637.1,0,4553,0,4597
XP_026296003.1,XP_011267639.1,0,4515,0,4562
XP_026296003.1,XP_011267641.1,0,4534,0,4579
XP_026296003.1,XP_025269993.1,0,4553,0,4597
XP_026296004.1,XP_011267637.1,0,4511,0,4555
XP_026296004.1,XP_011267639.1,0,4521,0,4564
XP_026296004.1,XP_011267641.1,0,4536,0,4583
XP_026296004.1,XP_025269993.1,0,4511,0,4555
XP_026296005.1,XP_011267637.1,0,4515,0,4561
XP_026296005.1,XP_011267639.1,0,4524,0,4570
